N,D,Triton,Torch (native)
256.0,256.0,128.0,128.0
384.0,384.0,233.3,264.3
512.0,512.0,394.8,358.1
640.0,640.0,457.1,457.1
768.0,768.0,576.0,576.0
896.0,896.0,694.5,675.8
1024.0,1024.0,744.7,744.7
1152.0,1152.0,797.5,797.5
1280.0,1280.0,853.3,853.3
1408.0,1408.0,911.1,860.4
1536.0,1536.0,921.6,877.7
1664.0,1664.0,940.5,901.3
1792.0,1792.0,964.9,929.2
1920.0,1920.0,993.1,960.0
2048.0,2048.0,993.0,973.6
2176.0,2176.0,999.8,991.4
2304.0,2304.0,1011.5,987.4
2432.0,2432.0,1004.5,1004.5
2560.0,2560.0,1003.9,1006.4
2688.0,2688.0,1026.3,1026.3
2816.0,2816.0,1050.0,1032.5
2944.0,2944.0,1040.7,1031.3
3072.0,3072.0,1051.8,1038.4
3200.0,3200.0,1052.6,1039.0
3328.0,3328.0,1050.0,1042.5
3456.0,3456.0,1060.4,1048.4
3584.0,3584.0,1056.3,1056.3
3712.0,3712.0,1055.4,1055.4
3840.0,3840.0,1056.6,1056.9
3968.0,3968.0,1069.6,1060.4
4096.0,4096.0,1074.4,1065.6
4224.0,4224.0,1072.2,1072.2
4352.0,4352.0,1072.2,1072.2
4480.0,4480.0,1074.0,1074.0
4608.0,4608.0,1070.2,1071.3
4736.0,4736.0,1064.2,1075.0
4864.0,4864.0,1074.6,1075.7
4992.0,4992.0,1072.1,1075.6
5120.0,5120.0,1062.3,1077.9
5248.0,5248.0,1075.8,1081.2
5376.0,5376.0,1068.5,1080.3
5504.0,5504.0,1075.8,1082.2
5632.0,5632.0,1077.4,1082.1
5760.0,5760.0,1071.1,1084.5
5888.0,5888.0,1070.5,1083.4
6016.0,6016.0,1079.2,1087.5
6144.0,6144.0,1084.2,1088.2
6272.0,6272.0,1078.3,1089.3
