M,N,K,Triton,Torch (native)
64.0,64.0,64.0,0.0,0.1
128.0,128.0,128.0,0.0,0.5
192.0,192.0,192.0,0.0,1.7
256.0,256.0,256.0,0.0,3.3
320.0,320.0,320.0,0.0,5.5
384.0,384.0,384.0,0.0,9.2
448.0,448.0,448.0,0.0,14.6
512.0,512.0,512.0,0.1,18.7
576.0,576.0,576.0,0.1,18.7
640.0,640.0,640.0,0.1,19.7
704.0,704.0,704.0,0.2,28.4
768.0,768.0,768.0,0.2,34.0
832.0,832.0,832.0,0.5,35.2
896.0,896.0,896.0,0.6,33.5
960.0,960.0,960.0,0.8,38.4
1024.0,1024.0,1024.0,0.5,42.9
1088.0,1088.0,1088.0,1.1,28.2
1152.0,1152.0,1152.0,1.3,40.4
1216.0,1216.0,1216.0,1.5,51.6
1280.0,1280.0,1280.0,13.4,58.6
1344.0,1344.0,1344.0,14.8,55.8
1408.0,1408.0,1408.0,15.3,41.9
1472.0,1472.0,1472.0,15.9,49.9
1536.0,1536.0,1536.0,15.8,56.4
1600.0,1600.0,1600.0,17.5,42.6
1664.0,1664.0,1664.0,16.5,45.9
1728.0,1728.0,1728.0,18.4,55.7
1792.0,1792.0,1792.0,19.3,53.0
1856.0,1856.0,1856.0,20.5,46.8
1920.0,1920.0,1920.0,21.5,54.0
1984.0,1984.0,1984.0,21.2,50.8
2048.0,2048.0,2048.0,20.5,54.2
2112.0,2112.0,2112.0,22.1,53.3
2176.0,2176.0,2176.0,23.3,54.6
2240.0,2240.0,2240.0,21.0,43.0
2304.0,2304.0,2304.0,22.6,44.7
2368.0,2368.0,2368.0,23.6,44.3
2432.0,2432.0,2432.0,24.1,46.7
2496.0,2496.0,2496.0,11.1,58.8
2560.0,2560.0,2560.0,24.3,51.4
2624.0,2624.0,2624.0,23.5,54.7
2688.0,2688.0,2688.0,25.9,60.0
2752.0,2752.0,2752.0,25.2,52.3
2816.0,2816.0,2816.0,21.5,59.0
2880.0,2880.0,2880.0,26.0,58.5
2944.0,2944.0,2944.0,25.9,62.3
3008.0,3008.0,3008.0,27.0,58.4
3072.0,3072.0,3072.0,27.7,61.0
3136.0,3136.0,3136.0,22.4,59.1
3200.0,3200.0,3200.0,28.5,54.1
3264.0,3264.0,3264.0,28.4,55.6
3328.0,3328.0,3328.0,29.3,57.8
3392.0,3392.0,3392.0,25.4,56.1
3456.0,3456.0,3456.0,26.9,59.7
3520.0,3520.0,3520.0,21.5,61.3
3584.0,3584.0,3584.0,29.3,63.5
3648.0,3648.0,3648.0,30.0,54.5
3712.0,3712.0,3712.0,26.2,60.7
3776.0,3776.0,3776.0,31.1,62.7
3840.0,3840.0,3840.0,31.3,64.2
3904.0,3904.0,3904.0,27.6,58.5
3968.0,3968.0,3968.0,32.0,59.9
4032.0,4032.0,4032.0,32.7,61.7
4096.0,4096.0,4096.0,16.8,63.2
4160.0,4160.0,4160.0,23.4,51.6
4224.0,4224.0,4224.0,17.0,59.7
4288.0,4288.0,4288.0,23.1,61.0
4352.0,4352.0,4352.0,23.7,33.2
4416.0,4416.0,4416.0,23.6,64.4
4480.0,4480.0,4480.0,21.4,55.2
4544.0,4544.0,4544.0,19.1,61.1
4608.0,4608.0,4608.0,25.6,59.3
4672.0,4672.0,4672.0,19.2,57.7
4736.0,4736.0,4736.0,25.6,37.8
