seq_len,din,dout,Triton,Torch (native)
64.0,64.0,64.0,0.0,0.0
128.0,128.0,128.0,0.0,0.0
192.0,192.0,192.0,0.0,0.0
256.0,256.0,256.0,0.0,0.0
320.0,320.0,320.0,0.0,0.0
384.0,384.0,384.0,0.0,0.0
448.0,448.0,448.0,0.0,0.0
512.0,512.0,512.0,0.0,0.0
576.0,576.0,576.0,0.0,0.0
640.0,640.0,640.0,0.0,0.0
704.0,704.0,704.0,0.0,0.0
768.0,768.0,768.0,0.0,0.0
832.0,832.0,832.0,0.0,0.0
896.0,896.0,896.0,0.0,0.0
960.0,960.0,960.0,0.0,0.0
1024.0,1024.0,1024.0,0.0,0.0
1088.0,1088.0,1088.0,0.0,0.0
1152.0,1152.0,1152.0,0.0,0.0
1216.0,1216.0,1216.0,0.0,0.0
1280.0,1280.0,1280.0,0.0,0.0
1344.0,1344.0,1344.0,0.0,0.0
1408.0,1408.0,1408.0,0.0,0.0
1472.0,1472.0,1472.0,0.0,0.0
1536.0,1536.0,1536.0,0.0,0.0
1600.0,1600.0,1600.0,0.0,0.0
1664.0,1664.0,1664.0,0.0,0.0
1728.0,1728.0,1728.0,0.0,0.0
1792.0,1792.0,1792.0,0.0,0.0
1856.0,1856.0,1856.0,0.0,0.0
1920.0,1920.0,1920.0,0.0,0.0
1984.0,1984.0,1984.0,0.0,0.0
2048.0,2048.0,2048.0,0.0,0.0
2112.0,2112.0,2112.0,0.0,0.0
2176.0,2176.0,2176.0,0.0,0.0
2240.0,2240.0,2240.0,0.0,0.0
2304.0,2304.0,2304.0,0.0,0.0
2368.0,2368.0,2368.0,0.0,0.0
2432.0,2432.0,2432.0,0.0,0.0
2496.0,2496.0,2496.0,0.0,0.0
2560.0,2560.0,2560.0,0.0,0.0
2624.0,2624.0,2624.0,0.0,0.0
2688.0,2688.0,2688.0,0.0,0.0
2752.0,2752.0,2752.0,0.0,0.0
2816.0,2816.0,2816.0,0.0,0.0
2880.0,2880.0,2880.0,0.0,0.0
2944.0,2944.0,2944.0,0.0,0.0
3008.0,3008.0,3008.0,0.0,0.0
3072.0,3072.0,3072.0,0.0,0.0
3136.0,3136.0,3136.0,0.0,0.0
3200.0,3200.0,3200.0,0.0,0.0
3264.0,3264.0,3264.0,0.0,0.0
3328.0,3328.0,3328.0,0.0,0.0
3392.0,3392.0,3392.0,0.0,0.0
3456.0,3456.0,3456.0,0.0,0.0
3520.0,3520.0,3520.0,0.0,0.0
3584.0,3584.0,3584.0,0.0,0.0
3648.0,3648.0,3648.0,0.0,0.0
3712.0,3712.0,3712.0,0.0,0.0
3776.0,3776.0,3776.0,0.0,0.0
3840.0,3840.0,3840.0,0.0,0.0
3904.0,3904.0,3904.0,0.0,0.0
3968.0,3968.0,3968.0,0.0,0.0
4032.0,4032.0,4032.0,0.0,0.0
4096.0,4096.0,4096.0,0.0,0.0
4160.0,4160.0,4160.0,0.0,0.0
4224.0,4224.0,4224.0,0.0,0.0
4288.0,4288.0,4288.0,0.0,0.0
4352.0,4352.0,4352.0,0.0,0.0
4416.0,4416.0,4416.0,0.0,0.0
4480.0,4480.0,4480.0,0.0,0.0
4544.0,4544.0,4544.0,0.0,0.0
4608.0,4608.0,4608.0,0.0,0.0
4672.0,4672.0,4672.0,0.0,0.0
4736.0,4736.0,4736.0,0.0,0.0
